INFO:2021-04-01 00:49:09.5490:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-04-01 00:49:10.1354:ConnectionTest.Program.Main(Program.cs:16):Connected
DEBUG:2021-04-01 00:49:10.1500:ConnectionTest.Program.Main(Program.cs:18):Question 1:
DEBUG:2021-04-01 00:49:12.0594:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.20E+99, Row: 1, Alt: 6543.666666666667
DEBUG:2021-04-01 00:49:12.0643:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.26E+82, Row: 1, Alt: 6026.69436997319
DEBUG:2021-04-01 00:49:12.0643:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.28E+11, Row: 1, Alt: 6138.442211055276
DEBUG:2021-04-01 00:49:12.0643:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.28E+12, Row: 1, Alt: 5379.9514563106795
DEBUG:2021-04-01 00:49:12.0643:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.28E+46, Row: 1, Alt: 14000
DEBUG:2021-04-01 00:49:12.0643:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.29E+05, Row: 1, Alt: 11671.09375
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.29E+27, Row: 1, Alt: 3837.5
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.30E+02, Row: 1, Alt: 3488.809523809524
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.31E+74, Row: 1, Alt: 6300
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.38E+09, Row: 1, Alt: 4148.117647058823
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.41E+14, Row: 1, Alt: 7316.688888888889
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.41E+94, Row: 1, Alt: 3059.8327420172327
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.42E+115, Row: 1, Alt: 3466
DEBUG:2021-04-01 00:49:12.0763:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.47E+113, Row: 1, Alt: 20000
DEBUG:2021-04-01 00:49:12.0938:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.49E+06, Row: 1, Alt: 4418.376237623763
DEBUG:2021-04-01 00:49:12.0938:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.50E+08, Row: 1, Alt: 7224.317073170731
DEBUG:2021-04-01 00:49:12.0938:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.50E+281, Row: 1, Alt: 6175
DEBUG:2021-04-01 00:49:12.0938:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.51E+04, Row: 1, Alt: 18373.647058823528
DEBUG:2021-04-01 00:49:12.0938:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.60E+31, Row: 1, Alt: 5328.983957219251
DEBUG:2021-04-01 00:49:12.1100:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.61E+10, Row: 1, Alt: 8675
DEBUG:2021-04-01 00:49:12.1100:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.64E+05, Row: 1, Alt: 5219.933333333333
DEBUG:2021-04-01 00:49:12.1237:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.66E+53, Row: 1, Alt: 3283.25
DEBUG:2021-04-01 00:49:12.1237:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.67E+09, Row: 1, Alt: 4875
DEBUG:2021-04-01 00:49:12.1407:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.70E+46, Row: 1, Alt: 1274.75
DEBUG:2021-04-01 00:49:12.1407:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.71E+10, Row: 1, Alt: 5040.971428571429
DEBUG:2021-04-01 00:49:12.1549:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.73E+13, Row: 1, Alt: 3116.0555555555557
DEBUG:2021-04-01 00:49:12.1549:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.81E+167, Row: 1, Alt: 4178.846153846154
DEBUG:2021-04-01 00:49:12.1549:ConnectionTest.Program.Main(Program.cs:18):Flight: 7.82E+04, Row: 1, Alt: 1751.5625
